name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Colombo, Western, Sri Lanka",2023-05-25,89.7,78.9,84.7,105.4,78.9,94.3,77.5,79.7,0.0,0.0,0.0,rain,0.0,0.0,21.3,12.8,218.8,1012.1,47.1,8.9,242.4,20.9,8.0,60.0,2023-05-25T05:53:20,2023-05-25T18:21:50,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-05-26,89.7,80.7,85.6,105.5,87.4,97.7,78.5,79.9,0.001,100.0,4.17,rain,0.0,0.0,22.8,13.9,235.8,1012.2,60.0,8.6,248.2,21.3,9.0,75.0,2023-05-26T05:53:20,2023-05-26T18:22:03,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-05-27,89.7,80.7,85.9,108.4,88.4,99.0,78.9,80.2,0.242,100.0,8.33,rain,0.0,0.0,21.3,11.4,237.3,1010.3,59.2,8.6,236.7,20.4,8.0,60.0,2023-05-27T05:53:21,2023-05-27T18:22:15,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,remote,43466099999"
"Colombo, Western, Sri Lanka",2023-05-28,89.7,82.5,86.5,108.4,92.7,101.5,79.9,81.2,0.101,100.0,12.5,rain,0.0,0.0,21.5,12.8,241.6,1009.0,67.7,8.1,229.0,19.8,8.0,75.0,2023-05-28T05:53:22,2023-05-28T18:22:28,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-29,91.5,80.7,85.8,108.1,88.4,99.5,79.6,82.3,0.003,100.0,4.17,rain,0.0,0.0,18.6,11.4,222.8,1009.1,52.5,8.0,251.6,21.7,8.0,75.0,2023-05-29T05:53:24,2023-05-29T18:22:41,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-30,91.5,78.9,85.2,108.1,78.9,96.8,79.0,82.5,0.112,100.0,12.5,rain,0.0,0.0,17.7,10.3,228.6,1009.7,52.2,7.9,210.7,18.2,7.0,60.0,2023-05-30T05:53:26,2023-05-30T18:22:55,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-05-31,91.5,78.2,85.3,111.2,78.2,96.1,78.1,79.7,0.288,100.0,8.33,rain,0.0,0.0,21.7,11.4,220.7,1009.4,49.5,8.1,243.6,21.2,8.0,60.0,2023-05-31T05:53:30,2023-05-31T18:23:08,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-01,89.7,79.7,84.7,107.1,79.7,96.9,79.0,83.4,0.149,100.0,25.0,rain,0.0,0.0,21.9,11.4,230.1,1009.4,75.5,8.5,227.5,19.6,8.0,30.0,2023-06-01T05:53:33,2023-06-01T18:23:22,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-06-02,89.9,77.1,85.8,108.4,77.1,99.1,79.2,81.2,0.12,100.0,37.5,rain,0.0,0.0,22.6,12.8,237.4,1009.8,60.7,8.0,213.9,18.4,7.0,60.0,2023-06-02T05:53:38,2023-06-02T18:23:36,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-03,91.5,82.6,86.5,111.2,93.9,101.3,79.7,80.6,0.285,100.0,8.33,rain,0.0,0.0,23.5,15.0,236.9,1009.7,56.5,8.1,225.0,19.3,8.0,60.0,2023-06-03T05:53:43,2023-06-03T18:23:50,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-04,89.7,82.5,85.6,105.1,92.6,98.1,78.5,79.8,0.112,100.0,16.67,rain,0.0,0.0,26.4,13.9,238.5,1009.6,50.4,8.1,216.2,18.6,8.0,60.0,2023-06-04T05:53:48,2023-06-04T18:24:05,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-05,89.7,78.9,84.2,105.4,78.9,94.3,78.4,83.4,0.198,100.0,33.33,rain,0.0,0.0,24.6,12.8,231.0,1009.2,75.7,8.0,219.7,18.9,7.0,60.0,2023-06-05T05:53:55,2023-06-05T18:24:19,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-06,89.7,82.2,85.4,108.4,92.0,98.6,79.2,81.9,0.116,100.0,16.67,rain,0.0,0.0,24.2,13.9,237.8,1008.8,69.7,8.0,213.1,18.6,7.0,75.0,2023-06-06T05:54:01,2023-06-06T18:24:33,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-07,89.7,81.9,85.3,108.4,90.6,97.9,78.7,80.8,0.395,100.0,41.67,rain,0.0,0.0,28.2,13.9,237.9,1009.1,69.6,8.4,149.1,12.9,7.0,75.0,2023-06-07T05:54:09,2023-06-07T18:24:48,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-06-08,88.5,82.5,84.5,103.7,91.1,96.1,78.4,82.3,0.414,100.0,41.67,rain,0.0,0.0,25.7,13.2,239.2,1009.5,63.5,8.5,208.5,18.0,8.0,60.0,2023-06-08T05:54:17,2023-06-08T18:25:03,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-06-09,89.7,80.7,84.5,105.5,88.4,95.8,78.4,82.4,0.173,100.0,29.17,rain,0.0,0.0,27.5,17.2,226.6,1008.9,64.9,8.1,227.3,19.7,8.0,60.0,2023-06-09T05:54:25,2023-06-09T18:25:17,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-10,87.9,78.9,84.2,100.5,78.9,93.5,77.6,81.3,0.289,100.0,12.5,rain,0.0,0.0,27.5,15.0,228.6,1008.2,62.0,8.1,234.2,20.2,8.0,60.0,2023-06-10T05:54:34,2023-06-10T18:25:32,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-11,87.9,77.1,81.1,102.7,77.1,87.1,78.0,90.4,1.33,100.0,41.67,rain,0.0,0.0,24.4,10.3,184.1,1007.8,77.3,7.8,190.2,16.6,6.0,60.0,2023-06-11T05:54:43,2023-06-11T18:25:47,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-06-12,89.7,77.1,82.0,108.4,77.1,89.6,78.7,90.3,1.491,100.0,50.0,rain,0.0,0.0,25.5,13.9,232.5,1007.7,73.9,7.7,198.6,17.0,7.0,60.0,2023-06-12T05:54:53,2023-06-12T18:26:01,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-06-13,87.9,77.1,82.2,100.2,77.1,89.3,77.3,86.0,0.485,100.0,29.17,rain,0.0,0.0,26.4,11.4,229.0,1008.6,65.9,7.8,209.4,18.0,8.0,30.0,2023-06-13T05:55:03,2023-06-13T18:26:16,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-14,87.9,78.9,83.8,100.4,78.9,92.9,77.4,81.5,0.0,0.0,0.0,rain,0.0,0.0,26.8,11.4,233.0,1009.5,57.1,8.5,188.0,16.3,7.0,60.0,2023-06-14T05:55:13,2023-06-14T18:26:30,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-06-15,87.9,80.7,84.6,105.5,87.4,96.8,78.8,83.0,0.044,100.0,20.83,rain,0.0,0.0,22.1,12.8,232.5,1009.1,70.8,9.6,200.3,17.3,7.0,75.0,2023-06-15T05:55:24,2023-06-15T18:26:45,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,remote,43466099999"
"Colombo, Western, Sri Lanka",2023-06-16,89.7,83.9,85.9,105.4,93.9,97.8,77.8,77.0,0.006,100.0,8.33,rain,0.0,0.0,26.8,12.8,238.5,1008.7,57.7,7.9,236.7,20.4,8.0,75.0,2023-06-16T05:55:36,2023-06-16T18:26:59,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-17,87.9,83.6,85.2,102.7,93.3,97.0,78.0,79.1,0.053,100.0,12.5,rain,0.0,0.0,25.9,13.9,238.4,1009.5,72.1,7.9,189.4,16.4,7.0,75.0,2023-06-17T05:55:47,2023-06-17T18:27:13,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-18,87.9,82.5,84.4,100.2,91.1,95.7,78.2,81.9,0.017,100.0,12.5,rain,0.0,0.0,26.2,16.1,241.3,1009.1,81.8,8.3,202.8,17.6,8.0,30.0,2023-06-18T05:55:59,2023-06-18T18:27:27,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-06-19,89.7,82.5,84.9,105.4,91.1,96.4,78.1,80.3,0.014,100.0,8.33,rain,0.0,0.0,24.6,11.4,236.4,1007.8,58.6,8.0,208.0,18.0,8.0,30.0,2023-06-19T05:56:12,2023-06-19T18:27:40,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-20,87.9,78.9,83.8,102.7,78.9,94.3,78.8,85.5,0.379,100.0,33.33,rain,0.0,0.0,23.9,15.0,219.6,1007.1,62.7,7.7,211.8,18.3,7.0,30.0,2023-06-20T05:56:24,2023-06-20T18:27:54,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-21,87.9,78.9,83.4,102.7,78.9,94.2,78.9,86.7,0.44,100.0,29.17,rain,0.0,0.0,22.6,16.1,219.2,1008.0,64.9,8.2,171.8,14.5,5.0,30.0,2023-06-21T05:56:37,2023-06-21T18:28:07,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-22,88.6,78.8,83.4,106.9,78.8,92.5,78.6,86.0,0.466,100.0,8.33,rain,0.0,0.0,21.3,12.8,202.3,1008.3,62.2,7.9,241.8,20.7,8.0,60.0,2023-06-22T05:56:50,2023-06-22T18:28:20,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43466099999"
